trip_type,slug,trip_title,start_date,variant_name,price_inr
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-29,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-29,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-29,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-29,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-01,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-01,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-01,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-01,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-01,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-01,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-04,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-04,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-04,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-04,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-04,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-04,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-06,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-06,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-06,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-06,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-06,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-06,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-08,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-08,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-08,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-08,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-08,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-08,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-11,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-11,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-11,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-11,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-11,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-11,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-13,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-13,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-13,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-13,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-13,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-13,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-15,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-15,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-15,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-15,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-15,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-15,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-18,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-18,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-18,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-18,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-18,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-18,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-20,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-20,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-20,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-20,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-20,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-05-20,SIC (Seat in Coach) - Triple Sharing,19000
