trip_type,slug,trip_title,start_date,variant_name,price_inr
domestic,kedarnath-yatra,Kedarnath 3N,2026-07-10,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-07-17,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-07-17,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-07-17,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-07-24,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-07-24,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-07-24,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-07-31,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-07-31,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-07-31,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-08-07,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-08-07,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-08-07,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-08-14,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-08-14,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-08-14,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-08-21,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-08-21,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-08-21,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-08-28,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-08-28,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-08-28,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-09-04,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-09-04,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-09-04,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-09-11,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-09-11,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-09-11,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-09-18,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-09-18,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-09-18,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-09-25,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-09-25,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-09-25,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-10-02,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-10-02,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-10-02,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-10-09,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-10-09,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-10-09,Triple Sharing,13000
domestic,ladakh-apricot-blossom,Ladakh apricot blossom,2026-04-03,Triple Sharing,29999
domestic,ladakh-apricot-blossom,Ladakh apricot blossom,2026-04-07,Triple Sharing,29999
domestic,ladakh-apricot-blossom,Ladakh apricot blossom,2026-04-10,Triple Sharing,29999
domestic,ladakh-apricot-blossom,Ladakh apricot blossom,2026-04-14,Triple Sharing,29999
domestic,ladakh-apricot-blossom,Ladakh apricot blossom,2026-04-17,Triple Sharing,29999
domestic,ladakh-apricot-blossom,Ladakh apricot blossom,2026-04-21,Triple Sharing,29999
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-03,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-03,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-03,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-03,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-03,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-03,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-06,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-06,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-06,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-06,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-06,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-06,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-08,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-08,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-08,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-08,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-08,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-08,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-10,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-10,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-10,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-10,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-10,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-10,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-13,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-13,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-13,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-13,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-13,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-13,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-15,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-15,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-15,RE Himalayan - Solo - Double Sharing,31000
