slug,title,trip_id
summer-spiti,Summer Spiti,a248a5b3-56d0-4898-b866-4ea509ec8238
4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),27037aa2-5343-433d-b751-e853ca7b2998
spiti-biking,Spiti Biking,7b70b40c-f975-43a3-ace2-28d717d282a9
manali-with-chandrataal-delhi-delhi,Manali with Chandrataal (Delhi-Delhi),a0abebea-4cc6-4a49-aeed-85cee664ab19
teen-taal,Teen Taal (Delhi-Delhi),adc942ae-ef2c-4863-89df-65870932dfd0
teen-taal-with-gombo-ranjan,Teen Taal With Gombo Ranjan,0cafb96d-587e-48ee-b96f-33ec73566e46
zanskar-valley-6n7d-tempo-traveller,Zanskar Valley 6N7D (Tempo Traveller),1ff55006-b3fc-4cf4-a229-d6c2d9bfc90f
kedarnath-yatra,Kedarnath Yatra,b0aa6786-c25f-41f1-9854-fdb085569612
ladakh-leh-to-leh-with-turtuk,Leh-Leh With Turtuk 5N6D,c2ad6623-8faa-4369-97bc-45de0c8ee69b
leh-leh-with-turtuk-6n7d,Leh-Leh with Turtuk 6N7D,370f04fa-51ff-4da3-aced-562086eea787
leh-to-leh-with-umling-la-hanle-tso-moriri,"Leh to Leh with Umling La, Hanle & Tso Moriri",28e074f1-b430-4659-b64c-cbe7f82de52f
winter-spiti-expedition,Winter Spiti Expedition,38702be1-61f5-42b4-b6a2-5f6c50253de2
spiti-valley-with-sangla-holi,Spiti Valley with sangla holi,184a383d-43e2-4593-a085-631476337f4a
sangla-holi-special,Sangla Holi Special,1125f1ed-5ea8-421e-a074-eb5a49be31d9
ladakh-apricot-blossom,Ladakh Apricot Blossom,5ad4e79e-c102-48d5-8c73-f5234a55b6cd
bali-with-nusa-gili-t,Bali with Nusa & Gili T,01aaba92-56b1-41dd-a195-01e8712c0753
thailand-songkran-festival,Thailand Songkran Festival,9bb24c76-8c91-45a6-92d1-cb77074a5b1f
thailand-full-moon-party,Thailand full moon party,c00c90fc-6cb4-4144-a2b9-cff06109d766
almaty,Almaty,c840d984-6ab6-4d08-bb55-ec6cfc07af68
sri-lanka,Sri Lanka,de3b0238-acba-4a8e-9123-ef79fb5b14de
dubai,Dubai,dc8a11ea-b6a4-4692-a830-2ba8855d5fa2
japan,Japan,238eec30-d45a-4724-9ad9-73a645c553a3
