slug,title,trip_id
summer-spiti,Summer Spiti,fa0ec379-66f4-475a-be4e-1dac1ac28ca1
4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),a6ad35f0-c5b6-4939-8a7b-2aee6faae7ea
spiti-biking,Spiti Biking,b8d3e428-d561-48c4-a5c4-dd4e9002caa3
manali-with-chandrataal-delhi-delhi,Manali with Chandrataal (Delhi-Delhi),952dad65-de97-43f8-a6a3-5b7f2348123c
teen-taal,Teen Taal (Delhi-Delhi),79301271-f2b2-4e8c-8300-3aa48f614f6a
teen-taal-with-gombo-ranjan,Teen Taal With Gombo Ranjan,f3d7c442-6984-4f2b-ae92-9e9eaf259f8e
zanskar-valley-6n7d-tempo-traveller,Zanskar Valley 6N7D (Tempo Traveller),85ff94f4-26c1-4882-ba98-3dd9fdef32bb
kedarnath-yatra,Kedarnath Yatra,62d010e4-7992-4a9f-9882-4ed19d4a4e3c
ladakh-leh-to-leh-with-turtuk,Leh-Leh With Turtuk 5N6D,b23cc51e-e40e-4b66-928d-4aa6856180d3
leh-leh-with-turtuk-6n7d,Leh-Leh with Turtuk 6N7D,dc721194-cef2-4b00-b334-b4df6f7393a6
leh-to-leh-with-umling-la-hanle-tso-moriri,"Leh to Leh with Umling La, Hanle & Tso Moriri",95a1c4b9-d3b1-41c7-922d-3e13ed185873
winter-spiti-expedition,Winter Spiti Expedition,5db272a1-817a-43ca-83be-ff8c6e4e4510
spiti-valley-with-sangla-holi,Spiti Valley with sangla holi,01f13a0a-11c4-43e2-bbc2-44e7b3000349
sangla-holi-special,Sangla Holi Special,0048d9b1-cdfb-449e-a07f-1dd5f38f0924
ladakh-apricot-blossom,Ladakh Apricot Blossom,a45a8662-ab6a-4713-9f12-ad68b3f5db29
bali-with-nusa-gili-t,Bali with Nusa & Gili T,930032c5-4621-4e34-ad8b-303adfac8a0b
thailand-songkran-festival,Thailand Songkran Festival,b18f933c-aaca-48c8-a0ce-a3703ab938c8
thailand-full-moon-party,Thailand full moon party,51419780-7daf-439e-b708-7d3f6bf0c500
almaty,Almaty,32049e7a-b8b5-4f22-9433-3bdee8697c11
sri-lanka,Sri Lanka,4e3da29b-0b6a-4551-9afc-67d5f275b60c
dubai,Dubai,9e0b0188-231e-486d-992a-556431a328a3
japan,Japan,01839deb-e4e2-493b-b42a-1c877ee9f1c8
