slug,title,trip_id
summer-spiti,Summer Spiti,f51e26d2-ef8e-468d-8739-aeb2ab835545
4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),5e14b801-0e2d-4e8d-a1ba-4a7319655714
spiti-biking,Spiti Biking,313a86d5-e222-4c6a-9110-21996bbdcf1c
manali-with-chandrataal-delhi-delhi,Manali with Chandrataal (Delhi-Delhi),50e29953-27e5-445a-b0f5-05e5cfa22d33
teen-taal,Teen Taal (Delhi-Delhi),72d58dd9-b56e-4b85-a7fa-ba63352983b6
teen-taal-with-gombo-ranjan,Teen Taal With Gombo Ranjan,d7fadc84-a58b-42e7-b4ac-9c281274f2ef
zanskar-valley-6n7d-tempo-traveller,Zanskar Valley 6N7D (Tempo Traveller),e25d6dfd-3e3c-4be4-800a-2c67811e5e93
kedarnath-yatra,Kedarnath Yatra,2826462b-1186-4603-9425-dccdab52499d
ladakh-leh-to-leh-with-turtuk,Leh-Leh With Turtuk 5N6D,eec83493-b0de-4c05-91d8-4a86e3f84277
leh-leh-with-turtuk-6n7d,Leh-Leh with Turtuk 6N7D,ec764750-8957-48b5-8459-cffe1beb17e2
leh-to-leh-with-umling-la-hanle-tso-moriri,"Leh to Leh with Umling La, Hanle & Tso Moriri",160e4553-4d04-43bb-b082-7b9df0d25363
winter-spiti-expedition,Winter Spiti Expedition,a4c1b343-b42a-4d98-abb3-d615c8b054ef
spiti-valley-with-sangla-holi,Spiti Valley with sangla holi,c4a40bba-3de9-4d3a-93cd-3664459e8437
sangla-holi-special,Sangla Holi Special,8491207f-6e2e-44da-949d-d5dcf17d8bca
ladakh-apricot-blossom,Ladakh Apricot Blossom,62225806-8490-47cb-b3b8-d800206baf95
bali-with-nusa-gili-t,Bali with Nusa & Gili T,dfdb81cf-5a61-47c7-b1ea-739148cda25e
thailand-songkran-festival,Thailand Songkran Festival,2dc5c3b2-f88f-429c-87f4-b2b82c0de532
thailand-full-moon-party,Thailand full moon party,e0fdc1fe-5c1e-4a4b-8bfd-eebc8a86e1ba
almaty,Almaty,2c5631d4-ede1-4168-bda5-34f42150010c
sri-lanka,Sri Lanka,a39600ba-2ad9-42e2-a64d-b70ef0644998
dubai,Dubai,255bf80b-bd63-448d-97ea-fa296fc3fc3d
japan,Japan,a3b81da6-957b-41dc-b057-a5fd29695012
