slug,title,trip_id
summer-spiti,Summer Spiti,beb600b6-ba94-4175-9d54-e40a5858d5e9
4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),34cca5ba-6c43-4e0d-8e46-ea71e2f92ad5
spiti-biking,Spiti Biking,e3dc182c-c7af-4b8d-9dee-93fbe45e3e6d
manali-with-chandrataal-delhi-delhi,Manali with Chandrataal (Delhi-Delhi),47662a86-692c-4bde-ae87-36836ff6661c
teen-taal,Teen Taal (Delhi-Delhi),275f6339-b224-4724-91ec-73b168eb46e9
teen-taal-with-gombo-ranjan,Teen Taal With Gombo Ranjan,8ef02e1d-7674-45d9-83f5-798ca544a4a6
zanskar-valley-6n7d-tempo-traveller,Zanskar Valley 6N7D (Tempo Traveller),af703852-3359-4b06-9dd0-0a8beaf98777
kedarnath-yatra,Kedarnath Yatra,524b7861-dd99-438e-b216-d5795d7a6488
ladakh-leh-to-leh-with-turtuk,Leh-Leh With Turtuk 5N6D,a482be60-64c3-4018-95d3-7e1b798b4f20
leh-leh-with-turtuk-6n7d,Leh-Leh with Turtuk 6N7D,977228fc-bbe9-4bf1-afe4-b1600683f041
leh-to-leh-with-umling-la-hanle-tso-moriri,"Leh to Leh with Umling La, Hanle & Tso Moriri",0cece9bf-b3e2-41d0-b15c-922bed9f9148
winter-spiti-expedition,Winter Spiti Expedition,8fd361e4-5e8f-44b7-9782-4ebda1df09a5
spiti-valley-with-sangla-holi,Spiti Valley with sangla holi,c2fb1c7e-8b51-44ec-acd6-ce8cba39fe0b
sangla-holi-special,Sangla Holi Special,983847ab-c3c5-4e0d-832f-e77455bbe048
ladakh-apricot-blossom,Ladakh Apricot Blossom,7cb3d6f0-8e24-47c4-9d1f-58b90d49ccd1
bali-with-nusa-gili-t,Bali with Nusa & Gili T,b88e7f52-3204-4411-bded-8fc36fa1d85f
thailand-songkran-festival,Thailand Songkran Festival,143d52f7-c64c-4554-8b46-041d0b43105f
thailand-full-moon-party,Thailand full moon party,0700ee34-e629-4a5c-846b-1d1c90f0183d
almaty,Almaty,e9f4c119-28aa-41d8-84ed-8607b9f99627
sri-lanka,Sri Lanka,5f72df04-63af-46b0-82d3-f119558a6495
dubai,Dubai,1dc36c53-845f-4191-9874-760c4cb7b403
japan,Japan,84c41d57-719e-4027-b418-64e6da678025
