slug,title,trip_id
summer-spiti,Summer Spiti,07867f60-ccf0-47bd-8b5a-30b02bb0db59
4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),56dd5ae2-b224-4bdd-aac6-65df591ffc7a
spiti-biking,Spiti Biking,600afb59-f20c-4e81-a4c3-c3443745f1c2
manali-with-chandrataal-delhi-delhi,Manali with Chandrataal (Delhi-Delhi),0fe8b6d9-aa5b-4ad2-ad6c-f4c2d50a6ed2
teen-taal,Teen Taal (Delhi-Delhi),59e4d273-267e-4999-9d29-0511fb9c3250
teen-taal-with-gombo-ranjan,Teen Taal With Gombo Ranjan,ab9bcb86-36c7-4284-97b6-3bd6e55d985c
zanskar-valley-6n7d-tempo-traveller,Zanskar Valley 6N7D (Tempo Traveller),43d55418-6c6b-4131-8165-02a34ea9b17a
kedarnath-yatra,Kedarnath Yatra,78d9685a-a664-42a4-a7a1-7033cc8a77d0
ladakh-leh-to-leh-with-turtuk,Leh-Leh With Turtuk 5N6D,a237ba0e-db89-4f7d-b2de-9a49f01f0a4a
leh-leh-with-turtuk-6n7d,Leh-Leh with Turtuk 6N7D,6e2546ee-641d-4c54-a7e3-e59ea02188dd
leh-to-leh-with-umling-la-hanle-tso-moriri,"Leh to Leh with Umling La, Hanle & Tso Moriri",1b52f2c0-2cc2-47be-a79d-bf62765b352b
winter-spiti-expedition,Winter Spiti Expedition,0b34d974-7dfd-40cc-840a-11da8cc4805a
spiti-valley-with-sangla-holi,Spiti Valley with sangla holi,3a63094c-2f22-4cd6-90b8-9e76f3ab283b
sangla-holi-special,Sangla Holi Special,064ccfbb-cbc7-451f-817a-8ce58e686611
ladakh-apricot-blossom,Ladakh Apricot Blossom,6bb51bb7-f31d-4017-8b5b-cfe2296496ad
bali-with-nusa-gili-t,Bali with Nusa & Gili T,9c3cc752-b9b8-4491-82fd-d0c77613f4a9
thailand-songkran-festival,Thailand Songkran Festival,23fdb581-5a9e-466f-b499-425644f78173
thailand-full-moon-party,Thailand full moon party,c9b4d60e-519f-44d6-81a7-32124fa83333
almaty,Almaty,bfcdf833-a444-45b0-91a2-345ae38a5f3b
sri-lanka,Sri Lanka,567af867-f38c-4131-a87d-650553ccb57e
dubai,Dubai,622624eb-ef53-46a3-84be-fdf3c540fd9a
japan,Japan,5897034a-0888-4b6e-82ea-b8db29f7c0c1
