pdfName,slug,title,type,id
Summer Spiti with Chandrataal (6N7D),summer-spiti,Summer Spiti,domestic,f51e26d2-ef8e-468d-8739-aeb2ab835545
4x4 Summer Spiti Expedition (6N7D),4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),domestic,5e14b801-0e2d-4e8d-a1ba-4a7319655714
Spiti Biking,spiti-biking,Spiti Biking,domestic,313a86d5-e222-4c6a-9110-21996bbdcf1c
Manali with Chandrataal (Delhi-Delhi),manali-with-chandrataal-delhi-delhi,Manali with Chandrataal (Delhi-Delhi),domestic,50e29953-27e5-445a-b0f5-05e5cfa22d33
Teen Taal (Delhi-Delhi),teen-taal,Teen Taal (Delhi-Delhi),domestic,72d58dd9-b56e-4b85-a7fa-ba63352983b6
Teen Taal with Gombo Ranjan,teen-taal-with-gombo-ranjan,Teen Taal With Gombo Ranjan,domestic,d7fadc84-a58b-42e7-b4ac-9c281274f2ef
Zanskar Valley 6N7D - Tempo Traveller,zanskar-valley-6n7d-tempo-traveller,Zanskar Valley 6N7D (Tempo Traveller),domestic,e25d6dfd-3e3c-4be4-800a-2c67811e5e93
Kedarnath Yatra 3N4D - Normal Package,kedarnath-yatra,Kedarnath Yatra,domestic,2826462b-1186-4603-9425-dccdab52499d
Leh-Leh with Turtuk 5N6D,ladakh-leh-to-leh-with-turtuk,Leh-Leh With Turtuk 5N6D,domestic,eec83493-b0de-4c05-91d8-4a86e3f84277
Leh-Leh with Turtuk 6N7D,leh-leh-with-turtuk-6n7d,Leh-Leh with Turtuk 6N7D,domestic,ec764750-8957-48b5-8459-cffe1beb17e2
Ladakh - Hanle & Umling La - 7N8D,leh-to-leh-with-umling-la-hanle-tso-moriri,"Leh to Leh with Umling La, Hanle & Tso Moriri",domestic,160e4553-4d04-43bb-b082-7b9df0d25363
Winter Spiti Expedition 6N7D,winter-spiti-expedition,Winter Spiti Expedition,domestic,a4c1b343-b42a-4d98-abb3-d615c8b054ef
Spiti Valley with Sangla Holi 6N7D,spiti-valley-with-sangla-holi,Spiti Valley with sangla holi,domestic,c4a40bba-3de9-4d3a-93cd-3664459e8437
Sangla Holi 3N4D,sangla-holi-special,Sangla Holi Special,domestic,8491207f-6e2e-44da-949d-d5dcf17d8bca
Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,ladakh-apricot-blossom,Ladakh Apricot Blossom,domestic,62225806-8490-47cb-b3b8-d800206baf95
Bali 8N9D,bali-with-nusa-gili-t,Bali with Nusa & Gili T,international,dfdb81cf-5a61-47c7-b1ea-739148cda25e
Thailand Songkran Festival,thailand-songkran-festival,Thailand Songkran Festival,international,2dc5c3b2-f88f-429c-87f4-b2b82c0de532
Thailand Full Moon Party,thailand-full-moon-party,Thailand full moon party,international,e0fdc1fe-5c1e-4a4b-8bfd-eebc8a86e1ba
Almaty,almaty,Almaty,international,2c5631d4-ede1-4168-bda5-34f42150010c
Sri Lanka,sri-lanka,Sri Lanka,international,a39600ba-2ad9-42e2-a64d-b70ef0644998
Dubai,dubai,Dubai,international,255bf80b-bd63-448d-97ea-fa296fc3fc3d
Japan Cherry Blossom,japan,Japan,international,a3b81da6-957b-41dc-b057-a5fd29695012
