trip_slug,trip_title,trip_type,trip_id,start_date,sharing,vehicle,base_price,sale_price,early_bird_discount
4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),domestic,56dd5ae2-b224-4bdd-aac6-65df591ffc7a,2026-03-26,Double,Fortuner/Hilux,37999,33999,4000
4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),domestic,56dd5ae2-b224-4bdd-aac6-65df591ffc7a,2026-03-26,Triple,Fortuner/Hilux,35999,32999,3000
4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),domestic,56dd5ae2-b224-4bdd-aac6-65df591ffc7a,2026-03-26,Double,SUV - Innova Crysta/Jimny/Thar/Scorpio N,35999,31999,4000
4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),domestic,56dd5ae2-b224-4bdd-aac6-65df591ffc7a,2026-03-26,Triple,SUV - Innova Crysta/Jimny/Thar/Scorpio N,32999,29999,3000
almaty,Almaty,international,bfcdf833-a444-45b0-91a2-345ae38a5f3b,,,,52999,52999,0
bali-with-nusa-gili-t,Bali with Nusa & Gili T,international,9c3cc752-b9b8-4491-82fd-d0c77613f4a9,,,,69999,69999,0
dubai,Dubai,international,622624eb-ef53-46a3-84be-fdf3c540fd9a,,,,72499,72499,0
japan,Japan,international,5897034a-0888-4b6e-82ea-b8db29f7c0c1,,,,174999,174999,0
kedarnath-yatra,Kedarnath Yatra,domestic,78d9685a-a664-42a4-a7a1-7033cc8a77d0,2026-03-26,Double,,13999,11999,2000
kedarnath-yatra,Kedarnath Yatra,domestic,78d9685a-a664-42a4-a7a1-7033cc8a77d0,2026-03-26,Quad,,11999,9999,2000
kedarnath-yatra,Kedarnath Yatra,domestic,78d9685a-a664-42a4-a7a1-7033cc8a77d0,2026-03-26,Triple,,12999,10999,2000
kedarnath-yatra,Kedarnath Yatra,domestic,78d9685a-a664-42a4-a7a1-7033cc8a77d0,2026-04-24,Double,,13999,11999,2000
kedarnath-yatra,Kedarnath Yatra,domestic,78d9685a-a664-42a4-a7a1-7033cc8a77d0,2026-04-24,Quad,,11999,9999,2000
