trip_slug,trip_title,date,variant_name,sheet_transport_hint,base_price_supabase,early_bird_discount_supabase,payable_supabase,sheet_original_price,sheet_discounted_price,price_match_sheet,discount_match_sheet,early_bird_enabled,early_bird_label,notes
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-06-12,Quad Sharing,,12000,2000,10000,12000,10000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-06-12,Triple Sharing,,13000,2000,11000,13000,11000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-06-19,Double Sharing,,14000,2000,12000,14000,12000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-06-19,Quad Sharing,,12000,2000,10000,12000,10000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-06-19,Triple Sharing,,13000,2000,11000,13000,11000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-06-26,Double Sharing,,14000,2000,12000,14000,12000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-06-26,Quad Sharing,,12000,2000,10000,12000,10000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-06-26,Triple Sharing,,13000,2000,11000,13000,11000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-07-03,Double Sharing,,14000,2000,12000,14000,12000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-07-03,Quad Sharing,,12000,2000,10000,12000,10000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-07-03,Triple Sharing,,13000,2000,11000,13000,11000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-07-10,Double Sharing,,14000,2000,12000,14000,12000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-07-10,Quad Sharing,,12000,2000,10000,12000,10000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-07-10,Triple Sharing,,13000,2000,11000,13000,11000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-07-17,Double Sharing,,14000,2000,12000,14000,12000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-07-17,Quad Sharing,,12000,2000,10000,12000,10000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-07-17,Triple Sharing,,13000,2000,11000,13000,11000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-07-24,Double Sharing,,14000,2000,12000,14000,12000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-07-24,Quad Sharing,,12000,2000,10000,12000,10000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-07-24,Triple Sharing,,13000,2000,11000,13000,11000,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-03,RE Himalayan 411 (DUAL RIDER),,28000,3001,24999,28000,24999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-03,RE Himalayan 411 (SOLO RIDER),,34000,3001,30999,34000,30999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-03,RE Himalayan 450 (DUAL RIDER),,33000,3001,29999,33000,29999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-03,RE Himalayan 450 (SOLO RIDER),,38000,3001,34999,38000,34999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-03,SIT (Seat in Coach),,23000,2001,20999,23000,20999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-03,Triple Sharing,,29999,0,29999,,,,,false,,variant not found in sheet map
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-07,RE Himalayan 411 (DUAL RIDER),,28000,3001,24999,28000,24999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-07,RE Himalayan 411 (SOLO RIDER),,34000,3001,30999,34000,30999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-07,RE Himalayan 450 (DUAL RIDER),,33000,3001,29999,33000,29999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-07,RE Himalayan 450 (SOLO RIDER),,38000,3001,34999,38000,34999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-07,SIT (Seat in Coach),,23000,2001,20999,23000,20999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-07,Triple Sharing,,29999,0,29999,,,,,false,,variant not found in sheet map
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-10,RE Himalayan 411 (DUAL RIDER),,28000,3001,24999,28000,24999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-10,RE Himalayan 411 (SOLO RIDER),,34000,3001,30999,34000,30999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-10,RE Himalayan 450 (DUAL RIDER),,33000,3001,29999,33000,29999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-10,RE Himalayan 450 (SOLO RIDER),,38000,3001,34999,38000,34999,yes,yes,true,Early Bird Summer Sale,
